ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Seconds to Label,External ID,Agreement,Dataset Name,Reviews,View Label
cju4o03eewm330755yhxmc05s,cju4nf555p4y20bqpbd4i4jha,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2Fdd86da2e-6a39-9351-7f04-56da6371f8a4-coke0.png,"{""coke_bottle"":[{""geometry"":[{""x"":98,""y"":156},{""x"":116,""y"":154},{""x"":121,""y"":156},{""x"":182,""y"":150},{""x"":208,""y"":160},{""x"":224,""y"":159},{""x"":228,""y"":167},{""x"":225,""y"":174},{""x"":209,""y"":175},{""x"":189,""y"":189},{""x"":125,""y"":191},{""x"":119,""y"":193},{""x"":102,""y"":192},{""x"":98,""y"":178},{""x"":96,""y"":160}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554504768000,66.244,coke0.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o03eewm330755yhxmc05s
cju4o1yrewjum0871th4scmdc,cju4nf555p4y60bqp1atw4nvv,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2Ffe611f72-28bd-fdf9-b2ff-6206e75147b2-coke1.png,"{""coke_bottle"":[{""geometry"":[{""x"":60,""y"":243},{""x"":72,""y"":222},{""x"":85,""y"":215},{""x"":158,""y"":158},{""x"":181,""y"":152},{""x"":198,""y"":144},{""x"":210,""y"":131},{""x"":222,""y"":136},{""x"":230,""y"":148},{""x"":218,""y"":164},{""x"":211,""y"":160},{""x"":199,""y"":191},{""x"":191,""y"":202},{""x"":144,""y"":241},{""x"":125,""y"":254},{""x"":114,""y"":269},{""x"":88,""y"":280}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554504855000,87.036,coke1.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o1yrewjum0871th4scmdc
cju4o2uz3wi2c0987s3fftvw4,cju4nf555p4ya0bqphqkege49,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2F5911d864-d0bf-300c-4411-23214c046e40-coke2.png,"{""coke_bottle"":[{""geometry"":[{""x"":119,""y"":309},{""x"":103,""y"":289},{""x"":101,""y"":271},{""x"":104,""y"":263},{""x"":100,""y"":234},{""x"":100,""y"":175},{""x"":110,""y"":147},{""x"":117,""y"":124},{""x"":114,""y"":113},{""x"":115,""y"":96},{""x"":146,""y"":98},{""x"":149,""y"":117},{""x"":144,""y"":125},{""x"":165,""y"":172},{""x"":164,""y"":237},{""x"":159,""y"":263},{""x"":162,""y"":276},{""x"":154,""y"":300}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554504897000,41.487,coke2.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o2uz3wi2c0987s3fftvw4
cju4o3j2jwn320755s374thfy,cju4nf555p4ye0bqpbm0bmsye,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2Fbd1eca84-e77a-5789-7d2f-731b32ce9299-coke3.png,"{""coke_bottle"":[{""geometry"":[{""x"":111,""y"":242},{""x"":105,""y"":228},{""x"":106,""y"":215},{""x"":101,""y"":197},{""x"":100,""y"":154},{""x"":110,""y"":125},{""x"":107,""y"":114},{""x"":107,""y"":105},{""x"":119,""y"":100},{""x"":127,""y"":103},{""x"":131,""y"":117},{""x"":143,""y"":154},{""x"":143,""y"":208},{""x"":146,""y"":228},{""x"":131,""y"":245}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554504928000,30.982,coke3.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o3j2jwn320755s374thfy
cju4o4b7vweco0817zlhns7yb,cju4nf555p4yi0bqpyg73a37l,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2Fc9a8df67-245c-e298-e028-1ec9c2092889-coke4.png,"{""coke_bottle"":[{""geometry"":[{""x"":127,""y"":247},{""x"":117,""y"":221},{""x"":121,""y"":210},{""x"":116,""y"":176},{""x"":116,""y"":118},{""x"":135,""y"":71},{""x"":131,""y"":65},{""x"":133,""y"":47},{""x"":145,""y"":42},{""x"":161,""y"":46},{""x"":162,""y"":63},{""x"":160,""y"":73},{""x"":178,""y"":117},{""x"":177,""y"":183},{""x"":171,""y"":208},{""x"":175,""y"":223},{""x"":168,""y"":247}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554504965000,36.054,coke4.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o4b7vweco0817zlhns7yb
cju4o507kwi9c08503wszndxb,cju4nf555p4ym0bqpbcnmiwg4,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2F51b271c6-9074-75d2-932c-916c146ca1b2-coke5.png,"{""coke_bottle"":[{""geometry"":[{""x"":197,""y"":249},{""x"":183,""y"":255},{""x"":171,""y"":256},{""x"":163,""y"":252},{""x"":135,""y"":256},{""x"":86,""y"":253},{""x"":57,""y"":239},{""x"":48,""y"":238},{""x"":43,""y"":241},{""x"":32,""y"":239},{""x"":28,""y"":226},{""x"":33,""y"":216},{""x"":44,""y"":216},{""x"":51,""y"":218},{""x"":85,""y"":205},{""x"":134,""y"":205},{""x"":161,""y"":209},{""x"":175,""y"":205},{""x"":199,""y"":217}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554504997000,32.08,coke5.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o507kwi9c08503wszndxb
cju4o5nmzwkuf0871foxnfm0j,cju4nf555p4yq0bqp2v7ja1x5,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2F7df5c8e9-2de8-e9a2-cc3c-92f9d8e49429-coke6.png,"{""coke_bottle"":[{""geometry"":[{""x"":71,""y"":294},{""x"":61,""y"":290},{""x"":53,""y"":278},{""x"":64,""y"":264},{""x"":69,""y"":265},{""x"":82,""y"":226},{""x"":117,""y"":191},{""x"":139,""y"":174},{""x"":144,""y"":161},{""x"":162,""y"":150},{""x"":175,""y"":158},{""x"":189,""y"":172},{""x"":184,""y"":196},{""x"":169,""y"":204},{""x"":158,""y"":224},{""x"":124,""y"":259},{""x"":95,""y"":267},{""x"":81,""y"":282}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554505027000,29.975,coke6.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o5nmzwkuf0871foxnfm0j
cju4o6a46wimw0850pely5y7z,cju4nf555p4yu0bqp6apc8i1y,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2F2cc37852-6d13-ec8b-fa93-ea441b198d41-coke7.png,"{""coke_bottle"":[{""geometry"":[{""x"":117,""y"":251},{""x"":110,""y"":238},{""x"":109,""y"":228},{""x"":113,""y"":216},{""x"":108,""y"":191},{""x"":103,""y"":146},{""x"":104,""y"":133},{""x"":119,""y"":94},{""x"":115,""y"":84},{""x"":118,""y"":65},{""x"":133,""y"":62},{""x"":148,""y"":64},{""x"":150,""y"":86},{""x"":146,""y"":92},{""x"":166,""y"":142},{""x"":163,""y"":194},{""x"":161,""y"":216},{""x"":164,""y"":233},{""x"":158,""y"":248},{""x"":138,""y"":257}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554505056000,28.796,coke7.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o6a46wimw0850pely5y7z
cju4o6up6wnxv0755tzt4kg7g,cju4nf555p4yy0bqp56g139yw,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2F0bf4d4e5-6fa3-9ba4-c371-5ba52d533308-coke8.png,"{""coke_bottle"":[{""geometry"":[{""x"":80,""y"":249},{""x"":71,""y"":245},{""x"":67,""y"":235},{""x"":75,""y"":224},{""x"":82,""y"":222},{""x"":100,""y"":193},{""x"":129,""y"":171},{""x"":148,""y"":160},{""x"":152,""y"":153},{""x"":166,""y"":146},{""x"":183,""y"":154},{""x"":186,""y"":170},{""x"":180,""y"":184},{""x"":169,""y"":187},{""x"":156,""y"":203},{""x"":128,""y"":226},{""x"":93,""y"":236},{""x"":92,""y"":244}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554505083000,26.439,coke8.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o6up6wnxv0755tzt4kg7g
cju4o7eakwf7a081736t4lse3,cju4nf555p4z20bqpk06w8wuh,https://storage.googleapis.com/labelbox-193903.appspot.com/cju4ndg17wbh50801ddmdicwq%2F19dc8429-62b6-de85-ded6-cddf691c8e57-coke9.png,"{""coke_bottle"":[{""geometry"":[{""x"":88,""y"":268},{""x"":79,""y"":255},{""x"":78,""y"":239},{""x"":80,""y"":233},{""x"":77,""y"":200},{""x"":73,""y"":158},{""x"":86,""y"":116},{""x"":83,""y"":98},{""x"":107,""y"":96},{""x"":108,""y"":111},{""x"":108,""y"":116},{""x"":123,""y"":150},{""x"":127,""y"":217},{""x"":127,""y"":231},{""x"":131,""y"":243},{""x"":122,""y"":267},{""x"":88,""y"":272}]}]}",cmcdaniel19@gmail.com,coca_coda_inference,1554505109000,24.462,coke9.png,,bottlez,[],https://image-segmentation-v4.labelbox.com?project=cju4nyhotwc6g08179g7v59fw&label=cju4o7eakwf7a081736t4lse3
